ASSERTION	AAECAAMBAJqZmZmZmak/
ASSERTION	AAEDAAEFAAAAAAAAwFhAAQAAAAAAAECPQA==
RUN	authservice.AuthServicePerfSimulation	authserviceperfsimulation	1606149611465	 	3.4.1
REQUEST		auth	1606149627399	1606149627879	OK	 
USER	Authenticate combo	END	1606149627880
USER	Authenticate combo	START	1606149627901
USER	Authenticate combo	START	1606149627923
REQUEST		auth	1606149627432	1606149627939	OK	 
USER	Authenticate combo	END	1606149627940
USER	Authenticate combo	START	1606149627947
USER	Authenticate combo	START	1606149627962
REQUEST		auth	1606149627493	1606149627965	OK	 
USER	Authenticate combo	END	1606149627966
REQUEST		auth	1606149627523	1606149627973	OK	 
USER	Authenticate combo	END	1606149627973
USER	Authenticate combo	START	1606149627990
REQUEST		auth	1606149627606	1606149628045	OK	 
USER	Authenticate combo	END	1606149628045
REQUEST		auth	1606149627631	1606149628056	OK	 
USER	Authenticate combo	END	1606149628057
REQUEST		auth	1606149627649	1606149628064	OK	 
USER	Authenticate combo	END	1606149628064
USER	Authenticate combo	START	1606149628086
USER	Authenticate combo	START	1606149628123
REQUEST		auth	1606149627656	1606149628140	OK	 
REQUEST		auth	1606149627738	1606149628140	OK	 
USER	Authenticate combo	END	1606149628140
USER	Authenticate combo	END	1606149628140
